Sex_female,Sex_male,Embarked_C,Embarked_Q,Embarked_S,Pclass_1,Pclass_2,Pclass_3
0,1,0,1,0,0,0,1
1,0,0,0,1,0,0,1
0,1,0,1,0,0,1,0
0,1,0,0,1,0,0,1
1,0,0,0,1,0,0,1
0,1,0,0,1,0,0,1
1,0,0,1,0,0,0,1
0,1,0,0,1,0,1,0
1,0,1,0,0,0,0,1
0,1,0,0,1,0,0,1
0,1,0,0,1,0,0,1
0,1,0,0,1,1,0,0
1,0,0,0,1,1,0,0
0,1,0,0,1,0,1,0
1,0,0,0,1,1,0,0
1,0,1,0,0,0,1,0
0,1,0,1,0,0,1,0
0,1,1,0,0,0,0,1
1,0,0,0,1,0,0,1
1,0,1,0,0,0,0,1
0,1,1,0,0,1,0,0
0,1,0,0,1,0,0,1
1,0,0,0,1,1,0,0
0,1,1,0,0,1,0,0
1,0,1,0,0,1,0,0
0,1,0,0,1,0,0,1
1,0,1,0,0,1,0,0
0,1,1,0,0,0,0,1
0,1,0,0,1,1,0,0
0,1,1,0,0,0,0,1
0,1,0,0,1,0,1,0
0,1,0,0,1,0,1,0
1,0,0,0,1,0,0,1
1,0,0,0,1,0,0,1
0,1,1,0,0,1,0,0
0,1,1,0,0,0,0,1
1,0,0,0,1,0,0,1
1,0,0,0,1,0,0,1
0,1,0,0,1,0,0,1
0,1,0,0,1,0,0,1
0,1,1,0,0,0,0,1
0,1,0,0,1,1,0,0
0,1,0,0,1,0,0,1
1,0,0,0,1,0,1,0
1,0,0,0,1,1,0,0
0,1,0,0,1,0,0,1
0,1,1,0,0,1,0,0
0,1,0,1,0,0,0,1
1,0,1,0,0,1,0,0
1,0,0,0,1,0,0,1
0,1,0,0,1,1,0,0
0,1,1,0,0,0,1,0
1,0,0,0,1,0,1,0
1,0,0,0,1,1,0,0
0,1,1,0,0,0,1,0
0,1,0,1,0,0,0,1
0,1,0,0,1,0,0,1
0,1,0,0,1,0,0,1
0,1,0,0,1,0,0,1
1,0,1,0,0,1,0,0
0,1,0,0,1,0,0,1
0,1,0,0,1,0,1,0
0,1,0,0,1,0,0,1
1,0,0,1,0,0,0,1
0,1,1,0,0,1,0,0
1,0,0,0,1,0,1,0
1,0,0,1,0,0,0,1
0,1,0,0,1,1,0,0
0,1,1,0,0,1,0,0
1,0,0,0,1,1,0,0
1,0,0,1,0,0,0,1
0,1,0,0,1,0,0,1
1,0,0,0,1,0,0,1
0,1,1,0,0,1,0,0
1,0,1,0,0,1,0,0
0,1,1,0,0,1,0,0
0,1,0,0,1,0,0,1
1,0,0,0,1,1,0,0
0,1,0,0,1,0,1,0
1,0,0,1,0,0,0,1
0,1,1,0,0,0,0,1
0,1,0,0,1,1,0,0
0,1,0,0,1,1,0,0
0,1,0,0,1,0,0,1
0,1,0,1,0,0,1,0
0,1,1,0,0,0,0,1
1,0,0,1,0,0,0,1
1,0,0,0,1,0,0,1
1,0,0,1,0,0,0,1
0,1,0,0,1,0,1,0
1,0,0,0,1,0,0,1
0,1,0,0,1,0,0,1
1,0,0,0,1,1,0,0
0,1,0,0,1,0,0,1
0,1,1,0,0,1,0,0
0,1,0,0,1,0,0,1
1,0,0,0,1,1,0,0
0,1,0,0,1,0,0,1
1,0,0,0,1,0,0,1
0,1,0,0,1,0,0,1
1,0,1,0,0,1,0,0
0,1,0,0,1,0,1,0
0,1,0,1,0,0,0,1
0,1,0,0,1,0,0,1
1,0,1,0,0,0,0,1
0,1,0,0,1,0,0,1
0,1,0,1,0,0,0,1
0,1,0,1,0,0,0,1
0,1,0,0,1,0,0,1
0,1,0,0,1,0,1,0
0,1,1,0,0,0,1,0
1,0,0,1,0,0,0,1
1,0,1,0,0,1,0,0
1,0,0,1,0,0,0,1
1,0,0,0,1,1,0,0
0,1,1,0,0,0,0,1
0,1,1,0,0,0,0,1
1,0,0,0,1,0,0,1
0,1,1,0,0,1,0,0
1,0,0,0,1,0,1,0
1,0,0,0,1,0,1,0
0,1,0,1,0,0,0,1
1,0,1,0,0,1,0,0
0,1,0,0,1,0,0,1
0,1,0,1,0,0,0,1
1,0,0,0,1,0,0,1
0,1,0,0,1,0,0,1
1,0,0,1,0,0,0,1
0,1,0,0,1,0,1,0
0,1,0,0,1,0,0,1
0,1,0,0,1,0,0,1
0,1,1,0,0,1,0,0
1,0,0,0,1,0,0,1
0,1,1,0,0,0,0,1
0,1,0,0,1,0,0,1
0,1,0,0,1,0,0,1
0,1,1,0,0,0,0,1
0,1,0,0,1,0,1,0
1,0,0,0,1,0,0,1
0,1,0,0,1,0,0,1
1,0,0,0,1,0,0,1
1,0,0,0,1,1,0,0
0,1,1,0,0,1,0,0
0,1,0,0,1,0,1,0
0,1,0,0,1,1,0,0
0,1,0,0,1,0,0,1
0,1,0,0,1,1,0,0
0,1,0,0,1,0,0,1
0,1,0,0,1,1,0,0
0,1,0,0,1,0,1,0
1,0,1,0,0,1,0,0
0,1,1,0,0,0,0,1
